commodity,year,Type,msprice,msp_filter
PADDY-UNHUSKED,2012,Kharif Crops,1250,1
RICE(PADDY-HUS),2012,Kharif Crops,1280,1
Jowar_Hybrid,2012,Kharif Crops,1500,1
SORGUM(JAWAR),2012,Kharif Crops,1520,1
BAJRI,2012,Kharif Crops,1175,1
MAIZE,2012,Kharif Crops,1175,1
Ragi_Maldandi,2012,Kharif Crops,1500,1
PIGEON PEA (TUR),2012,Kharif Crops,3850,1
SPILT GERRN GRAM,2012,Kharif Crops,4400,1
SPLIT BLACK GRAM,2012,Kharif Crops,4300,1
COTTON,2012,Kharif Crops,3600,1
Cotton_Long Staple,2012,Kharif Crops,3900,1
GR.NUT KERNELS,2012,Kharif Crops,3700,1
SUNFLOWER,2012,Kharif Crops,3700,1
Soyabean_Black,2012,Kharif Crops,2200,1
SOYABEAN,2012,Kharif Crops,2240,1
SESAMUM,2012,Kharif Crops,4200,1
NIGER-SEED,2012,Kharif Crops,3500,1
WHEAT(HUSKED),2012,Rabi Crops,1350,1
WHEAT(UNHUSKED),2012,Rabi Crops,1350,1
BARLI,2012,Rabi Crops,980,1
Gram_Yellow,2012,Rabi Crops,3000,1
Masur_Yellow,2012,Rabi Crops,2900,1
MUSTARD,2012,Rabi Crops,3000,1
SAFFLOWER,2012,Rabi Crops,2800,1
Toria_Yellow,2012,Rabi Crops,2970,1
Copra (Milling)_Yellow,2012,Other Crops,5100,1
Copra (Ball)_Yellow,2012,Other Crops,5350,1
COCONUT,2012,Other Crops,1400,1
Jute_Yellow,2012,Other Crops,2200,1
SUGAR-CANE,2012,Other Crops,170,1
PADDY-UNHUSKED,2013,Kharif Crops,1310,1
RICE(PADDY-HUS),2013,Kharif Crops,1345,1
Jowar_Hybrid,2013,Kharif Crops,1500,1
SORGUM(JAWAR),2013,Kharif Crops,1520,1
BAJRI,2013,Kharif Crops,1310,1
MAIZE,2013,Kharif Crops,1310,1
Ragi_Maldandi,2013,Kharif Crops,1500,1
PIGEON PEA (TUR),2013,Kharif Crops,4300,1
SPILT GERRN GRAM,2013,Kharif Crops,4500,1
SPLIT BLACK GRAM,2013,Kharif Crops,4300,1
COTTON,2013,Kharif Crops,3700,1
Cotton_Long Staple,2013,Kharif Crops,4000,1
GR.NUT KERNELS,2013,Kharif Crops,4000,1
SUNFLOWER,2013,Kharif Crops,3700,1
