APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,quarter,combination_label
Akole,bajri,2014,September,25,1467,1733,1650.0,2014-09-01,Ahmadnagar,Maharashtra,3,Akole:bajri
Akole,bajri,2014,October,30,1390,1700,1560.0,2014-10-01,Ahmadnagar,Maharashtra,4,Akole:bajri
Akole,bajri,2014,November,67,1400,1700,1550.0,2014-11-01,Ahmadnagar,Maharashtra,4,Akole:bajri
Akole,bajri,2014,December,40,1375,1750,1563.0,2014-12-01,Ahmadnagar,Maharashtra,4,Akole:bajri
Akole,bajri,2015,January,74,1395,1840,1580.0,2015-01-01,Ahmadnagar,Maharashtra,1,Akole:bajri
Akole,bajri,2015,February,4855,1014,1351,1470.75,2015-02-01,Ahmadnagar,Maharashtra,1,Akole:bajri
Akole,bajri,2015,March,144,1375,1750,1538.0,2015-03-01,Ahmadnagar,Maharashtra,1,Akole:bajri
Akole,bajri,2015,April,52,1357,1800,1525.0,2015-04-01,Ahmadnagar,Maharashtra,2,Akole:bajri
Akole,bajri,2015,May,9,1375,1900,1712.75,2015-05-01,Ahmadnagar,Maharashtra,2,Akole:bajri
Akole,bajri,2015,June,16,1388,1800,1588.0,2015-06-01,Ahmadnagar,Maharashtra,2,Akole:bajri
Akole,bajri,2015,July,27,1300,1800,1488.0,2015-07-01,Ahmadnagar,Maharashtra,3,Akole:bajri
Akole,bajri,2015,August,12,1400,1800,1625.0,2015-08-01,Ahmadnagar,Maharashtra,3,Akole:bajri
Akole,bajri,2015,September,13,1400,1800,1563.0,2015-09-01,Ahmadnagar,Maharashtra,3,Akole:bajri
Akole,bajri,2015,October,37,1425,1800,1558.0,2015-10-01,Ahmadnagar,Maharashtra,4,Akole:bajri
Akole,bajri,2015,November,101,1394,1850,1569.0,2015-11-01,Ahmadnagar,Maharashtra,4,Akole:bajri
Akole,bajri,2015,December,37,1350,1850,1619.0,2015-12-01,Ahmadnagar,Maharashtra,4,Akole:bajri
Akole,bajri,2016,January,64,1430,1860,1575.0,2016-01-01,Ahmadnagar,Maharashtra,1,Akole:bajri
Akole,bajri,2016,February,39,1433,1833,1575.0,2016-02-01,Ahmadnagar,Maharashtra,1,Akole:bajri
Akole,bajri,2016,March,369,1433,1867,1600.0,2016-03-01,Ahmadnagar,Maharashtra,1,Akole:bajri
Akole,bajri,2016,April,75,1460,1960,1685.0,2016-04-01,Ahmadnagar,Maharashtra,2,Akole:bajri
Akole,bajri,2016,May,17,1483,2000,1683.0,2016-05-01,Ahmadnagar,Maharashtra,2,Akole:bajri
Akole,bajri,2016,June,52,1467,2000,1617.0,2016-06-01,Ahmadnagar,Maharashtra,2,Akole:bajri
Akole,bajri,2016,July,32,1450,2200,1712.75,2016-07-01,Ahmadnagar,Maharashtra,3,Akole:bajri
Akole,bajri,2016,August,31,1433,2033,1675.0,2016-08-01,Ahmadnagar,Maharashtra,3,Akole:bajri
Akole,bajri,2016,September,29,1456,1975,1600.0,2016-09-01,Ahmadnagar,Maharashtra,3,Akole:bajri
Akole,bajri,2016,October,114,1444,2000,1594.0,2016-10-01,Ahmadnagar,Maharashtra,4,Akole:bajri
Akole,bajri,2016,November,60,1450,1950,1588.0,2016-11-01,Ahmadnagar,Maharashtra,4,Akole:bajri
Akole,paddy-unhusked,2014,September,119,1450,1900,1681.0,2014-09-01,Ahmadnagar,Maharashtra,3,Akole:paddy-unhusked
Akole,paddy-unhusked,2014,October,103,1425,1900,1669.0,2014-10-01,Ahmadnagar,Maharashtra,4,Akole:paddy-unhusked
Akole,paddy-unhusked,2014,November,204,1450,1800,1625.0,2014-11-01,Ahmadnagar,Maharashtra,4,Akole:paddy-unhusked
Akole,paddy-unhusked,2014,December,346,1400,1800,1625.0,2014-12-01,Ahmadnagar,Maharashtra,4,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,January,403,1395,1860,1600.0,2015-01-01,Ahmadnagar,Maharashtra,1,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,February,5432,936,1335,1542.5,2015-02-01,Ahmadnagar,Maharashtra,1,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,March,129,1400,1850,1613.0,2015-03-01,Ahmadnagar,Maharashtra,1,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,April,113,1450,1925,1625.0,2015-04-01,Ahmadnagar,Maharashtra,2,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,May,54,1425,1950,1681.0,2015-05-01,Ahmadnagar,Maharashtra,2,Akole:paddy-unhusked
Akole,paddy-unhusked,2015,June,62,1467,2067,1692.0,2015-06-01,Ahmadnagar,Maharashtra,2,Akole:paddy-unhusked
